Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7
Influenza,sore throat,body aches,fatigue,cough,headache,chills,runny nose
Common Cold,runny nose,sneezing,fatigue,sore throat,mild fever,,
Typhoid,loss of appetite,constipation,diarrhea,weakness,high fever,stomach pain,headache
Urinary Tract Infection,burning urination,pelvic pain,cloudy urine,frequent urination,,,
COVID-19,body aches,loss of smell,headache,,,,
Measles,cough,fever,rash,runny nose,sensitivity to light,,
Tuberculosis,fatigue,chest pain,coughing up blood,fever,persistent cough,,
Tuberculosis,coughing up blood,fever,weight loss,,,,
Typhoid,loss of appetite,headache,constipation,weakness,stomach pain,,
Common Cold,fatigue,sore throat,congestion,sneezing,,,
Asthma,wheezing,coughing,chest tightness,,,,
COVID-19,loss of smell,shortness of breath,headache,loss of taste,cough,body aches,
Diabetes,blurred vision,weight loss,slow healing wounds,fatigue,numbness in feet,excessive thirst,
Hypertension,shortness of breath,blurred vision,fatigue,,,,
Influenza,runny nose,chills,fatigue,sore throat,,,
Urinary Tract Infection,chills,frequent urination,cloudy urine,pelvic pain,burning urination,fever,
Malaria,headache,chills,sweating,vomiting,nausea,,
Diabetes,blurred vision,frequent urination,excessive thirst,weight loss,,,
Malaria,fever,vomiting,sweating,fatigue,nausea,,
Hepatitis B,vomiting,nausea,dark urine,,,,
Hepatitis B,nausea,fatigue,jaundice,dark urine,abdominal pain,,
Pneumonia,fatigue,fever,shortness of breath,chest pain,cough,,
Migraine,blurred vision,nausea,vomiting,fatigue,severe headache,sensitivity to light,sensitivity to sound
Gastroenteritis,nausea,diarrhea,stomach cramps,loss of appetite,fever,vomiting,
Hypertension,shortness of breath,dizziness,chest pain,blurred vision,fatigue,headache,
Anemia,cold hands,shortness of breath,dizziness,weakness,pale skin,chest pain,
Chicken Pox,fatigue,itchiness,loss of appetite,rash,,,
COVID-19,cough,fatigue,loss of smell,shortness of breath,headache,loss of taste,
Chicken Pox,fatigue,rash,itchiness,fever,,,
COVID-19,loss of smell,headache,cough,shortness of breath,,,
Diabetes,excessive thirst,slow healing wounds,numbness in feet,,,,
Appendicitis,severe abdominal pain,fever,loss of appetite,nausea,bloating,,
Gastroenteritis,vomiting,nausea,fever,diarrhea,stomach cramps,fatigue,loss of appetite
Arthritis,swelling,warmth in joints,stiffness,,,,
COVID-19,fever,fatigue,shortness of breath,,,,
Influenza,headache,runny nose,fatigue,,,,
Chicken Pox,headache,rash,loss of appetite,fever,,,
Tuberculosis,chest pain,weight loss,persistent cough,night sweats,coughing up blood,fever,fatigue
Dengue Fever,nausea,vomiting,muscle pain,severe headache,,,
Measles,rash,sensitivity to light,cough,red eyes,fatigue,runny nose,fever
Chicken Pox,headache,rash,itchiness,fever,,,
Pneumonia,shortness of breath,fatigue,fever,rapid breathing,,,
Anemia,shortness of breath,dizziness,cold hands,,,,
COVID-19,headache,body aches,shortness of breath,fever,,,
Dengue Fever,rash,high fever,joint pain,severe headache,nausea,muscle pain,
Pneumonia,chest pain,rapid breathing,shortness of breath,fever,chills,cough,
